"Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Action","History","Psychology","Politics","Mathematics","Physics","Internet","PC","Economy.Management","Biology","Chemistry","Reading","Geography","Foreign.languages","Medicine","Law","Cars","Art.exhibitions","Religion","Countryside..outdoors","Dancing","Musical.instruments","Writing","Passive.sport","Active.sport","Gardening","Celebrities","Shopping","Science.and.technology","Theatre","Fun.with.friends","Adrenaline.sports","Pets","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","Smoking","Alcohol","Healthy.eating","Daily.events","Prioritising.workload","Writing.notes","Workaholism","Thinking.ahead","Final.judgement","Reliability","Keeping.promises","Loss.of.interest","Friends.versus.money","Funniness","Fake","Criminal.damage","Decision.making","Elections","Self.criticism","Judgment.calls","Hypochondria","Empathy","Eating.to.survive","Giving","Compassion.to.animals","Borrowed.stuff","Loneliness","Cheating.in.school","Health","Changing.the.past","God","Dreams","Charity","Number.of.friends","Punctuality","Lying","Waiting","New.environment","Mood.swings","Appearence.and.gestures","Socializing","Achievements","Responding.to.a.serious.letter","Children","Assertiveness","Getting.angry","Knowing.the.right.people","Public.speaking","Unpopularity","Life.struggles","Happiness.in.life","Energy.levels","Small...big.dogs","Personality","Finding.lost.valuables","Getting.up","Interests.or.hobbies","Parents_.advice","Questionnaires.or.polls","Internet.usage","Finances","Shopping.centres","Branded.clothing","Entertainment.spending","Spending.on.looks","Spending.on.gadgets","Spending.on.healthy.eating","Age","Height","Weight","Number.of.siblings","Gender","Left...right.handed","Education","Only.child","Village...town","House...block.of.flats","Recoded Age_1"
5,5,5,1,5,5,5,5,5,5,1,2,3,1,5,5,5,5,2,5,1,4,3,5,5,5,2,5,2,1,1,4,5,3,3,5,5,5,1,3,5,5,5,5,1,1,1,5,5,5,5,5,5,1,3,5,1,2,5,5,5,5,5,1,1,1,3,1,1,1,5,5,5,3,2,5,5,1,3,3,2,1,4,4,5,5,2,1,1,5,1,3,3,5,5,2,3,3,5,5,1,2,5,5,4,3,1,1,3,5,5,5,5,3,3,1,3,1,3,5,1,5,5,5,5,1,3,4,3,5,3,5,3,5,5,3,5,3,2,5,15,173,49,3,1,1,2,1,1,2,1
5,4,3,1,1,1,1,4,4,1,5,2,4,3,2,2,2,1,1,5,4,4,5,5,5,4,2,5,4,1,3,1,5,2,4,1,5,3,2,4,1,4,5,5,3,2,1,1,2,3,1,1,1,2,1,1,3,2,4,2,3,3,5,1,1,2,1,5,3,5,3,1,4,4,2,2,4,4,2,5,4,1,4,5,1,2,5,4,5,4,1,4,5,3,4,3,1,5,4,5,5,2,1,4,4,1,1,1,2,3,4,4,4,3,3,4,4,3,2,3,5,4,4,2,3,4,3,2,4,2,2,5,4,5,4,3,1,2,2,2,15,170,51,1,1,2,2,1,2,2,1
5,3,4,2,1,3,2,5,4,1,3,4,5,4,3,3,2,5,1,5,4,4,5,5,4,1,5,5,2,1,4,1,2,1,3,2,5,3,1,3,3,4,4,4,2,1,1,4,1,5,2,5,4,5,5,3,4,5,4,4,5,2,5,3,3,2,1,5,2,2,3,5,4,4,2,3,4,4,4,2,3,3,4,4,5,4,3,2,4,5,1,4,4,1,3,2,3,5,4,5,5,4,3,4,3,2,2,3,2,1,5,5,3,3,3,5,3,3,5,3,5,5,4,3,5,3,3,3,5,5,3,2,3,2,5,4,3,5,5,5,15,160,48,2,1,2,1,1,2,1,1
5,3,5,1,1,1,1,3,2,1,1,5,3,1,1,1,1,4,1,5,5,3,5,2,5,5,4,4,2,3,5,2,2,2,1,1,4,4,3,5,4,1,3,5,3,1,4,1,1,2,5,2,1,3,4,1,3,4,4,1,5,3,4,1,1,2,2,4,4,3,2,3,1,3,2,2,3,3,1,2,5,3,3,4,5,5,3,1,5,4,1,4,4,3,4,2,4,5,5,3,5,3,1,1,4,4,4,2,2,2,5,4,5,3,2,4,3,4,3,3,2,4,1,4,4,4,4,2,4,3,2,3,3,3,3,5,2,4,2,2,15,181,63,0,2,2,2,2,1,1,1
5,5,5,2,2,2,4,5,4,2,2,4,3,2,4,3,5,3,2,5,4,2,5,4,3,2,4,5,1,1,3,1,4,2,3,2,3,2,3,4,1,3,3,5,2,4,3,3,1,2,2,1,3,5,4,2,2,5,1,3,5,2,3,1,1,4,2,4,1,4,1,2,1,1,1,1,2,1,3,1,2,1,3,5,5,2,1,1,5,4,4,3,5,1,4,1,1,2,1,1,5,1,3,1,4,1,5,3,3,3,5,3,5,5,3,1,3,5,3,5,1,3,2,5,3,1,3,2,5,1,3,5,3,1,5,3,4,5,4,2,15,176,53,3,1,2,3,1,1,1,1
5,3,3,2,1,2,3,5,2,1,1,4,3,3,2,1,1,1,1,5,3,3,5,5,4,2,2,2,2,1,3,1,1,1,2,1,5,5,1,2,2,3,1,3,2,2,1,1,1,1,1,1,1,3,1,1,3,4,1,2,5,1,5,1,2,3,1,4,3,1,1,2,3,4,3,1,1,1,1,1,3,2,3,4,5,5,3,1,1,1,1,1,3,5,3,3,3,5,5,3,5,3,3,3,3,1,3,1,2,2,3,3,4,4,4,3,3,3,3,3,5,1,4,4,4,2,3,2,5,3,3,3,4,5,5,3,3,3,2,3,15,170,49,1,1,2,3,1,1,1,1
5,5,5,3,3,3,3,3,4,2,4,4,5,5,5,5,5,4,1,5,3,1,5,5,2,1,5,5,2,1,1,3,4,1,4,1,5,5,3,3,1,1,5,4,1,3,5,2,2,3,4,4,1,5,5,2,2,5,5,4,5,5,5,3,3,2,5,5,2,3,1,5,4,3,3,3,1,3,4,2,3,4,4,3,5,4,4,4,2,4,4,5,2,5,4,5,5,4,4,4,3,4,5,5,4,3,4,1,2,3,5,3,4,4,2,3,3,4,4,2,5,3,5,4,4,1,3,1,5,5,4,3,3,4,5,4,2,3,2,5,15,174,63,1,1,2,2,1,1,2,1
2,4,2,1,1,2,2,3,4,3,2,3,3,3,3,2,1,2,1,5,4,4,4,3,4,5,2,2,3,1,3,2,1,1,2,2,3,3,1,1,2,1,3,1,1,1,3,1,1,1,1,1,1,5,5,1,1,1,2,1,4,2,3,3,1,2,3,2,2,1,1,3,3,4,3,1,2,1,2,1,4,3,2,4,2,4,3,2,4,4,1,5,5,1,3,2,2,5,4,3,5,4,5,5,3,1,4,2,2,4,4,3,3,3,3,2,2,4,4,3,3,2,2,4,5,4,3,1,5,5,3,4,3,2,3,5,5,1,2,3,15,170,75,1,2,2,2,1,1,2,1
5,3,3,2,2,4,3,3,5,2,2,2,1,1,2,1,1,2,2,5,4,3,5,5,3,1,4,4,3,1,3,2,2,1,3,1,5,2,4,2,1,3,1,3,1,2,1,4,5,5,5,5,2,4,2,1,4,5,4,5,5,4,1,3,5,5,4,2,5,3,5,4,5,3,3,3,4,2,3,2,3,4,3,3,5,4,4,3,4,3,1,4,4,2,4,2,4,4,3,4,5,5,4,5,3,2,3,3,1,1,4,4,5,3,4,3,5,5,5,5,5,3,5,3,4,2,2,1,5,4,3,2,3,1,5,4,4,5,3,3,15,165,48,3,1,1,3,1,1,2,1
5,3,3,3,3,5,4,3,4,4,5,3,3,3,3,3,3,3,3,5,4,3,5,4,5,3,5,5,5,3,3,3,3,2,2,2,5,5,1,3,3,2,3,2,2,2,2,4,3,4,4,5,5,1,4,5,2,4,3,3,5,3,5,4,1,3,3,5,1,1,3,1,1,3,2,3,3,1,3,2,3,5,3,5,3,5,5,2,2,3,1,3,3,1,3,3,3,5,5,3,3,3,3,5,2,2,3,3,2,3,5,5,3,3,3,3,5,5,1,3,2,3,3,3,5,3,3,5,5,5,3,5,2,3,5,2,4,3,4,3,15,160,51,2,1,2,1,1,1,1,1
5,3,2,3,2,4,2,4,5,5,5,4,4,3,4,2,2,3,3,5,2,3,5,3,5,3,3,4,2,4,5,4,1,3,1,1,5,5,4,2,3,2,2,3,1,3,3,1,2,4,1,5,1,3,3,1,1,3,5,1,3,4,5,1,2,5,3,5,1,3,3,1,3,3,2,2,3,1,2,3,3,1,3,4,1,3,4,3,5,3,1,2,3,4,3,2,2,5,5,5,5,3,5,2,3,1,3,1,2,3,1,2,5,2,4,3,3,2,3,5,3,3,1,3,3,5,3,1,5,5,3,2,4,5,5,5,5,3,5,3,15,190,85,0,2,1,1,2,2,2,1
4,2,4,2,1,3,2,4,2,2,1,2,2,2,2,1,2,3,2,3,2,3,4,3,1,2,3,3,2,1,2,4,4,2,4,2,5,1,1,2,4,3,4,1,3,1,1,2,2,4,1,3,3,2,1,2,1,1,2,2,3,2,3,4,2,1,2,2,4,1,1,2,3,4,3,3,2,4,5,2,5,4,4,4,5,3,2,2,5,3,1,5,5,2,5,2,1,4,5,2,4,4,3,5,3,2,2,2,3,4,4,4,4,2,4,4,5,2,4,4,3,3,4,5,5,4,3,2,5,1,4,5,3,5,1,1,4,4,2,3,16,161,54,1,1,2,3,1,2,2,1
